cluster_id,kind,ring_spread,x,y,source_tile,calls
0,label_conflict,0.0,456373.36335400614,4709868.731734925,K-35-053-2_x3360_y2688.png,55maps-text-high-generalisation=not_mound@50; 55maps-text-high-t0.3-generalisation=mound@50; 55maps-text-min-generalisation=not_mound@50
1,label_conflict,0.0,499482.4906291285,4706034.837081853,K-35-054-2_Atolov_4326_x4032_y3360.png,55maps-text-high-generalisation=not_mound@50; 55maps-text-min-generalisation=mound@150
2,label_conflict,0.0,494402.1735617746,4703950.2074602,K-35-054-4_Voynika_x2688_y0.png,55maps-text-high-generalisation=mound@125; 55maps-text-high-t0.3-generalisation=not_mound@50
3,label_conflict,0.0,414001.329288153,4679476.847226183,K-35-064-2_Radnevo_4326_x3360_y1344.png,55maps-text-high-generalisation=not_mound@50; 55maps-text-high-t0.3-generalisation=mound@50; 55maps-text-min-generalisation=mound@50
4,mixed_sentinel,0.0,393262.87464999617,4649314.35293822,K-35-076-1_x3360_y0.png,55maps-text-high-generalisation=mound@200; 55maps-image-generalisation=mound@150
5,mixed_sentinel,0.0,462556.0361097849,4742063.029634662,K-35-042-3_x672_y0.png,55maps-text-high-t0.3-generalisation=mound@200; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@200
6,ring_conflict,50.0,477824.98528600344,4720992.904816691,K-35-054-1_Straldzha_4326_x3696_y336.png,55maps-text-high-t0.3-generalisation=mound@100; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@100
7,ring_conflict,100.0,469112.2456867399,4698597.456527354,K-35-054-3_Yambol_x2016_y1008.png,55maps-text-high-t0.3-generalisation=mound@150; 55maps-text-min-generalisation=mound@125; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@125
8,mixed_sentinel,0.0,511588.19828473794,4698469.713885826,K-35-055-3_x2016_y1008.png,55maps-text-high-t0.3-generalisation=mound@200; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@200
9,ring_conflict,50.0,346370.4968413579,4670948.490063637,K-35-063-1_Granit_4326_x2352_y3360.png,55maps-text-high-t0.3-generalisation=mound@100; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@100
10,ring_conflict,75.0,369983.8935389879,4651330.477995916,K-35-063-4_Skobelevo_4326_x2688_y3360.png,55maps-text-high-t0.3-generalisation=mound@75; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@125
11,ring_conflict,100.0,414540.8364989495,4676923.0291082105,K-35-064-2_Radnevo_4326_x3360_y2016.png,55maps-text-high-t0.3-generalisation=mound@150; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@150
12,label_conflict,0.0,395413.4299059544,4668839.532319372,K-35-064-3_Dimitrovgrad_4326_x3696_y0.png,55maps-text-high-t0.3-generalisation=mound@50; 55maps-text-min-generalisation=not_mound@50
13,mixed_sentinel,0.0,492439.71657730016,4676564.37229165,K-35-066-2_x2352_y1680.png,55maps-text-high-t0.3-generalisation=mound@200; 55maps-text-min-generalisation=mound@200; 55maps-text-high-generalisation:pass2-review=mound@50; 55maps-text-high-generalisation:pass2-mounds-confirm=mound@200
