temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
text-t0.7,5,1,0.2075,0.116,0.9835,0.1619,0.2594,0.0882,0.1495,0.9679,0.996,3736
text-t0.7,5,2,0.457,0.3004,0.9545,0.3806,0.5414,0.238,0.3767,0.9302,0.9764,1376
text-t0.7,5,3,0.6313,0.4768,0.9339,0.5569,0.706,0.3971,0.5661,0.9013,0.963,855
text-t0.7,5,4,0.7496,0.6505,0.8843,0.6851,0.805,0.5656,0.7313,0.8359,0.9286,584
text-t0.7,5,5,0.7889,0.815,0.7645,0.7347,0.8333,0.7415,0.8813,0.6983,0.8248,415
text-t0.7,10,1,0.1392,0.0749,0.9835,0.1061,0.1793,0.056,0.0986,0.9679,0.996,5866
text-t0.7,10,2,0.3156,0.1881,0.9793,0.2539,0.384,0.1458,0.2396,0.9631,0.9954,2215
text-t0.7,10,3,0.4283,0.2744,0.9752,0.3536,0.505,0.2166,0.3408,0.9568,0.9918,1493
text-t0.7,10,4,0.5284,0.3671,0.9421,0.449,0.6065,0.295,0.4482,0.9139,0.9668,1104
text-t0.7,10,5,0.6194,0.4623,0.938,0.5465,0.6915,0.3861,0.5441,0.9103,0.9628,879
text-t0.7,10,6,0.6862,0.5466,0.9215,0.6153,0.7497,0.463,0.6286,0.8894,0.9493,727
text-t0.7,10,7,0.7348,0.6328,0.876,0.6667,0.79,0.5473,0.7139,0.8279,0.9186,590
text-t0.7,10,8,0.791,0.7266,0.8678,0.7336,0.8358,0.6435,0.7982,0.822,0.9106,511
text-t0.7,10,9,0.826,0.8383,0.814,0.783,0.8677,0.7703,0.8929,0.7547,0.871,431
text-t0.7,10,10,0.8,0.9016,0.719,0.7424,0.8458,0.8512,0.9439,0.6458,0.7893,345
text-t0.7,30,1,0.0718,0.0373,0.9917,0.0536,0.094,0.0275,0.0493,0.9793,1.0,11771
text-t0.7,30,2,0.17,0.0931,0.9793,0.1315,0.218,0.0705,0.1227,0.9633,0.9953,4543
text-t0.7,30,3,0.2405,0.1371,0.9793,0.1882,0.3006,0.1041,0.1776,0.9633,0.9953,3072
text-t0.7,30,4,0.295,0.1736,0.9793,0.2357,0.3606,0.1343,0.2205,0.9633,0.9953,2363
text-t0.7,30,5,0.3388,0.2048,0.9793,0.2735,0.4068,0.1593,0.257,0.9633,0.9953,1991
text-t0.7,30,6,0.3816,0.237,0.9793,0.3118,0.453,0.1855,0.2953,0.9633,0.9953,1713
text-t0.7,30,7,0.4148,0.2634,0.9752,0.3413,0.4903,0.2071,0.3273,0.9571,0.9917,1536
text-t0.7,30,8,0.4512,0.2935,0.9752,0.3743,0.5292,0.2326,0.3628,0.9571,0.9917,1387
text-t0.7,30,9,0.4806,0.3193,0.9711,0.4013,0.5551,0.2534,0.389,0.9517,0.9893,1271
text-t0.7,30,10,0.5082,0.3452,0.9628,0.43,0.5812,0.2777,0.4163,0.9395,0.9841,1161
text-t0.7,30,11,0.5362,0.3716,0.9628,0.4578,0.608,0.3011,0.4434,0.9395,0.9841,1070
text-t0.7,30,12,0.5714,0.4085,0.9504,0.4947,0.6433,0.3339,0.4846,0.9228,0.975,975
text-t0.7,30,13,0.6026,0.4421,0.9463,0.5251,0.6729,0.365,0.5184,0.9178,0.9732,907
text-t0.7,30,14,0.6283,0.4702,0.9463,0.5514,0.696,0.3899,0.5472,0.9178,0.9732,850
text-t0.7,30,15,0.6628,0.51,0.9463,0.5891,0.7264,0.4308,0.5874,0.9178,0.9732,789
text-t0.7,30,16,0.6953,0.5523,0.938,0.6264,0.759,0.4737,0.6323,0.9062,0.9672,729
text-t0.7,30,17,0.7244,0.5916,0.9339,0.6559,0.7838,0.509,0.6705,0.8984,0.9662,682
text-t0.7,30,18,0.7328,0.6176,0.9008,0.6654,0.7883,0.5316,0.6944,0.8612,0.9391,637
text-t0.7,30,19,0.7465,0.6437,0.8884,0.6815,0.7975,0.5581,0.7183,0.8464,0.9291,607
text-t0.7,30,20,0.7667,0.6817,0.876,0.7014,0.8167,0.5959,0.7562,0.8315,0.9198,571
text-t0.7,30,21,0.785,0.7167,0.8678,0.7251,0.8317,0.6353,0.7845,0.8205,0.9127,536
text-t0.7,30,22,0.8046,0.75,0.8678,0.7483,0.8492,0.6711,0.8166,0.8205,0.9127,510
text-t0.7,30,23,0.807,0.7638,0.8554,0.7525,0.8518,0.688,0.8298,0.802,0.9055,491
text-t0.7,30,24,0.8142,0.7803,0.8512,0.7621,0.8594,0.7092,0.8434,0.7951,0.9026,469
text-t0.7,30,25,0.8171,0.804,0.8306,0.7692,0.8619,0.7341,0.8621,0.7773,0.8829,441
text-t0.7,30,26,0.8263,0.8478,0.8058,0.7798,0.8694,0.7854,0.9009,0.7479,0.8627,415
text-t0.7,30,27,0.8184,0.8698,0.7727,0.7689,0.8598,0.8079,0.9179,0.7113,0.8303,390
text-t0.7,30,28,0.8109,0.9036,0.7355,0.7584,0.8547,0.8524,0.9429,0.6653,0.8017,361
text-t0.7,30,29,0.8038,0.9392,0.7025,0.7453,0.8514,0.9009,0.9707,0.6246,0.7716,327
text-t0.7,30,30,0.705,0.9574,0.5579,0.6238,0.7725,0.9179,0.9864,0.4693,0.6394,256
